apogee_id,param_m_h,param_m_h_err,param_alpha_m,param_alpha_m_err,glat
2M05435481+2841240,0.166404,0.02745991,0.06558513,0.01193748,-0.447249915956
2M05452907+2827207,-0.2427606,0.03073137,0.1432298,0.0157758,-0.275627516934
2M05470816+2754053,-0.08588552,0.02957262,0.01174639,0.01260635,-0.252820118592
2M05475766+2834408,-9999,-1,-9999,-1,0.25283473759
2M05480769+2841538,0.0374585,0.02889738,-0.03184561,0.01302737,0.346387878426
2M05490570+2755573,-0.3986875,0.03480174,0.0929427,0.01629015,0.133811885172
2M05495225+2753478,-0.3575724,0.0329194,0.02057031,0.01764278,0.262292724554
2M17531919-2522325,-9999,-1,-9999,-1,0.362386585497
2M17532948-2519228,-9999,-1,-9999,-1,0.355736639579
2M00194200+6220393,-0.3751578,0.03325074,0.02510359,0.01728027,-0.300738944103
2M00203969+6232459,0.4286895,0.02613512,0.02776548,0.00996969,-0.113843614711
2M00224552+6235115,-0.5887174,0.03423464,0.1107199,0.01871042,-0.10149297071
2M00282238+6225540,-0.02802306,0.02957478,0.1224332,0.01371776,-0.320511248401
2M00285430+6244352,-0.1116323,0.03147728,0.04797008,0.01418874,-0.0156952615404
2M00285575+6303533,0.01683914,0.02883447,0.08090658,0.01335239,0.304521127487
2M00312579+6316332,-0.04805458,0.02934908,0.05858419,0.01280594,0.491618597833
2M00341474+6225579,0.05774834,0.0294021,0.002707285,0.01329363,-0.372463548408
2M00350607+6258585,-9999,-1,-9999,-1,0.170153171265
2M00363335+6300052,-0.1286445,0.03073466,0.06970885,0.01357204,0.178635719595
2M21091678+4814071,-0.02397234,0.03067477,0.006675708,0.01263376,0.268620517605
2M21115982+4736002,0.05230854,0.02772295,0.02831128,0.01132909,-0.497702962684
2M21124152+4838017,-9999,-1,-9999,-1,0.127755630173
2M21125033+4834557,0.2771524,0.02727251,0.05659819,0.01019712,0.0746137057433
2M21134233+4812557,0.3025045,0.02543921,0.07411005,0.01079896,-0.282245196601
2M18054366-2011015,-9999,-1,-9999,-1,0.468479285089
2M18060099-2006522,-9999,-1,-9999,-1,0.443166838539
2M18062923-2022050,-9999,-1,-9999,-1,0.223025007727
2M18433636-0252085,0.2510252,0.0240436,0.08434381,0.01061462,0.432473303108
2M18433958-0251130,-9999,-1,-9999,-1,0.427577892865
2M18433979-0245503,0.2581667,0.02396138,-0.001898931,0.01058356,0.467779244568
2M18444028-0309266,-0.4497932,0.03394054,0.2123268,0.01872454,0.0641578123289
2M18451544-0327571,-9999,-1,-9999,-1,-0.206851399215
2M18451791-0340147,0.2547091,0.02436445,-0.01459298,0.01061643,-0.309520412297
2M18453291-0147277,0.2169755,0.02664808,-0.01080485,0.01026976,0.493154394948
2M18454829-0240397,0.05132902,0.02825907,0.05969828,0.01275961,0.0314127036645
2M18455541-0336069,-9999,-1,-9999,-1,-0.416828821836
2M01415626+6236133,-0.3224271,0.03270926,0.06858349,0.01503968,0.299428786449
2M03222835+5634586,0.1661164,0.02690462,0.03306719,0.01059951,-0.395372245179
2M03290235+5656238,-0.08096097,0.02899355,0.0742123,0.01283806,0.40097711439
2M03311420+5624314,0.1192252,0.02846384,0.02379145,0.01180598,0.135343260619
2M03330600+5627590,-0.3690696,0.03000571,0.03457218,0.01435607,0.330453601106
2M04354259+4718281,-0.4272197,0.03333417,0.05868238,0.01595147,-0.0977444404674
2M20205504+3625051,-9999,-1,-9999,-1,-0.106495449784
2M20225538+3626312,0.3548141,0.02465588,0.03824889,0.009243148,-0.424285944975
2M20262164+3728546,0.3505386,0.02590345,0.06919134,0.01109376,-0.38661252765
2M20263635+3730339,-0.3180256,0.02876223,0.02351571,0.01365374,-0.410216228157
2M22241966+5753359,0.07276676,0.02978488,0.03793485,0.01186591,0.422290989473
2M22312129+5822378,-0.2824454,0.03108398,0.08251368,0.01431327,0.351031164909
2M17434414-2938256,-9999,-1,-9999,-1,-0.0178540368402
2M17434496-2941237,-9999,-1,-9999,-1,-0.0463065375211
2M17440744-2927376,-9999,-1,-9999,-1,0.00457143944024
2M17443432-2910385,-9999,-1,-9999,-1,0.0694945488078
2M17443634-2909250,-9999,-1,-9999,-1,0.0739229451632
2M17453194-2857473,-9999,-1,-9999,-1,0.00237423128165
2M17454325-2848215,-9999,-1,-9999,-1,0.0490404259815
2M17455544-2850109,-9999,-1,-9999,-1,-0.00478554730399
2M17460212-2852199,-9999,-1,-9999,-1,-0.0442371321617
2M17461190-2852559,-9999,-1,-9999,-1,-0.079927384632
2M18300376-1026518,0.4795167,0.02367171,0.0600431,0.00939628,-0.067237450423
2M18303518-1031286,0.285886,0.0237228,0.01568738,0.009895369,-0.216949804636
2M18303565-0901315,-9999,-1,-9999,-1,0.475584445969
2M18310782-1033076,0.4252777,0.02289419,0.005939664,0.00858021,-0.348213097705
2M18312555-0901452,-9999,-1,-9999,-1,0.291798084162
2M18312559-0922571,-9999,-1,-9999,-1,0.128247469672
2M18314874-1014508,0.5059504,0.02491883,-0.01054135,0.009111414,-0.355996788818
2M00030676+6232058,0.3804951,0.02525868,0.03957202,0.009613494,0.18424155607
2M18423931-0317108,0.4365429,0.02597331,0.01366143,0.009204734,0.452839937898
2M18425234-0320178,-9999,-1,-9999,-1,0.380890260639
2M04410088+4648203,0.2861124,0.02399047,0.009752039,0.009214839,0.239092212557
2M04424565+4619104,-0.1777027,0.02872935,0.04881215,0.0128126,0.14401896451
2M05211571+3601466,-0.4827865,0.03405776,0.09008758,0.01864565,-0.443021727582
2M05262008+3559176,0.09041677,0.02876658,0.03579013,0.01163945,0.380716432874
2M05270972+3443494,-0.3268633,0.03308032,0.04508374,0.01519888,-0.18104422318
2M17395229-3023482,-0.1822181,0.02664153,0.05089571,0.01347045,0.293155009503
2M17401928-3131120,0.4366366,0.02290318,0.01306524,0.008948738,-0.385278988671
2M17411689-3110159,-9999,-1,-9999,-1,-0.374243027209
2M17501198-2652500,-9999,-1,-9999,-1,0.196718612411
2M17501356-2701486,-9999,-1,-9999,-1,0.114929342017
2M19435071+2337151,0.1477014,0.02709542,0.04608923,0.01215732,-0.122289981438
2M19435630+2429360,0.2360853,0.02585917,0.04449914,0.01119703,0.294349103001
2M19443250+2309561,0.2060928,0.02539109,0.02883405,0.01007077,-0.488015991338
2M19445686+2429470,-0.02375291,0.02623801,-0.01878545,0.01122555,0.0969575632679
2M19450183+2509074,-9999,-1,-9999,-1,0.40877388
2M19453415+2356094,0.2600453,0.02784456,0.0215173,0.01043273,-0.306349450539
2M19465796+2433003,0.1732765,0.02829832,0.05067321,0.011346,-0.273150942796
2M06020845+2146595,-0.2300329,0.03140144,0.1060274,0.01559561,-0.411577536385
2M06021712+2220292,-0.2261521,0.03280571,0.0296116,0.01447463,-0.106765513169
2M06295893+0931073,-0.3126144,0.02883862,0.003738705,0.01363684,-0.380712433175
2M06324001+0951045,-0.31164,0.0335007,0.05190219,0.01524859,0.359656578707
2M06324547+0909484,-0.290302,0.03293463,0.02855226,0.01491565,0.0619844284609
2M06325881+0903291,0.0549201,0.02847572,0.04005617,0.01155071,0.0620415121511
2M23554139+6218137,0.003855728,0.02990267,0.07106775,0.01308054,0.12994195967
2M23574210+6231392,0.2676826,0.0253859,0.08133345,0.01037716,0.299634018155
2M23580245+6224230,-0.106688,0.02813034,0.03750277,0.01223908,0.172987888576
2M23593817+6230372,-9999,-1,-9999,-1,0.237437453174
2M05125105+3825511,-0.5028497,0.03189237,0.07839246,0.01663687,-0.418954698076
2M05131970+3910096,-0.3362042,0.03252889,0.1047663,0.01649827,0.0901197814971
2M05183546+3738245,0.0453799,0.02765759,0.08517066,0.01326527,0.0406112201374
2M17544690-2506533,-0.3283173,0.0282388,0.1969667,0.01439443,0.209507059321
2M17545610-2554152,-0.2877162,0.02779973,0.2288167,0.01385203,-0.219135914457
2M17560809-2520566,0.3251278,0.02273897,0.1824167,0.00895216,-0.172872086453
2M05443339+2831154,0.236719,0.02751373,0.02784208,0.01043784,-0.415497573501
2M05445850+2937199,-0.4014032,0.03430115,0.04447699,0.01612836,0.237929220785
2M05450581+2952463,-0.1610148,0.03145431,0.06417539,0.01363755,0.39483115803
2M05452998+2816471,-9999,-1,-9999,-1,-0.364513714661
2M05454266+2834244,0.06752971,0.02893472,0.01209684,0.01163164,-0.171845492645
2M05463120+2846443,0.05152294,0.02898755,-0.01985314,0.01334326,0.0866421754414
2M05475779+2830435,-0.2088003,0.03174256,0.03396218,0.01560496,0.219178511897
2M05481452+2825300,-0.3341553,0.03324647,0.001014475,0.01733943,0.226631490975
2M05492983+2756315,-0.1124309,0.02958142,0.01447026,0.01274973,0.214846125314
2M00352198+6248122,-0.4834928,0.03428471,0.04765199,0.01673837,-0.0109342443123
2M17525127-2527288,-9999,-1,-9999,-1,0.411084729307
2M17525709-2524555,-9999,-1,-9999,-1,0.41386603986
2M17530642-2523418,-9999,-1,-9999,-1,0.394011080846
2M17533926-2545166,-9999,-1,-9999,-1,0.105107650683
2M17534010-2532270,-9999,-1,-9999,-1,0.210808299431
2M17534095-2530377,-9999,-1,-9999,-1,0.223442028915
2M00201742+6227498,-9999,-1,-9999,-1,-0.190372056353
2M00210121+6246144,-9999,-1,-9999,-1,0.104267116705
2M00251313+6254186,-0.3245401,0.03375129,0.05614521,0.01648772,0.185385848775
2M00261395+6252498,-0.2080757,0.03051981,0.04847618,0.01428599,0.149355992719
2M00303481+6309250,0.1104453,0.02912807,0.006662024,0.01148491,0.380651240107
2M00311664+6220376,-9999,-1,-9999,-1,-0.436291215274
2M21085706+4803196,0.4147713,0.02500665,0.02886314,0.009572431,0.186762314028
2M21102314+4834226,-0.4351563,0.03153554,0.1138242,0.0173059,0.36396456012
2M21120083+4831455,-0.5743992,0.03370192,0.08923312,0.01817303,0.137551237534
2M21120210+4751273,-0.4921552,0.03283069,0.1371138,0.01814534,-0.32574320615
2M21134316+4919347,-0.2757519,0.03189226,0.1489516,0.01648066,0.482416617046
2M21142752+4853592,-0.313833,0.03427947,0.07386918,0.01687166,0.100328443816
2M20171805+3557257,-9999,-1,-9999,-1,0.235938555381
2M22241544+5743415,-0.5318795,0.03097017,0.09512985,0.01786026,0.287568755719
2M22281293+5817097,-0.04119746,0.02650471,0.0008197054,0.01138504,0.485438799424
2M22293411+5737460,0.468394,0.02364511,0.04714658,0.00894808,-0.169013312943
2M22325011+5741150,0.2681581,0.02631427,0.0542499,0.00995983,-0.342489814856
2M22325094+5754256,0.3831483,0.02548344,0.04148108,0.01040754,-0.153997157772
2M22333651+5758380,-0.3767612,0.03185309,0.1307417,0.01667803,-0.144346077986
2M17431462-2937499,-9999,-1,-9999,-1,0.0783610511068
2M17432817-2917418,-9999,-1,-9999,-1,0.2127528313
2M17450714-2850268,-9999,-1,-9999,-1,0.143368223476
2M17454688-2825314,-9999,-1,-9999,-1,0.235915131264
2M17455313-2844086,-9999,-1,-9999,-1,0.0548224693762
2M18283840-1009175,-9999,-1,-9999,-1,0.378599590513
2M18291654-1002382,0.320838,0.02262761,0.008719034,0.009836114,0.291518912583
2M18302058-0923095,-9999,-1,-9999,-1,0.363544529913
2M18303330-0953221,0.4016422,0.02345741,0.001004708,0.009057543,0.0840199913001
2M18305656-0857552,0.4091206,0.025087,0.03789078,0.01018263,0.427134741798
2M18311766-1028045,0.03974042,0.02697858,0.004115595,0.01115404,-0.34497484737
2M18324167-0951223,0.1013207,0.03095131,0.1345107,0.01203249,-0.367823891278
2M00031176+6230199,0.3607401,0.0245762,0.06257766,0.01038118,0.153551410123
2M18003293-2356433,-9999,-1,-9999,-1,-0.340239245776
2M18004034-2342329,-9999,-1,-9999,-1,-0.247525679648
2M18005921-2348530,-9999,-1,-9999,-1,-0.362371136856
2M18011041-2345110,-9999,-1,-9999,-1,-0.368905960409
2M18054689-2023579,-9999,-1,-9999,-1,0.352025703605
2M18060436-2028518,-9999,-1,-9999,-1,0.25264779823
2M18432516-0339100,-9999,-1,-9999,-1,0.115742745878
2M18433057-0350246,0.3454913,0.02539462,0.01545867,0.01047611,0.0101041691568
2M18442056-0322563,0.2618168,0.02393035,0.02535175,0.01066961,0.0343815949901
2M18445290-0227346,-0.2986073,0.03196332,-0.06626227,0.01681729,0.336084772137
2M18445385-0327285,-9999,-1,-9999,-1,-0.123314410007
2M18450078-0302517,0.3106051,0.02362711,0.001601525,0.01019434,0.0383766513165
2M18450596-0330429,0.2781373,0.02311727,-0.02920109,0.009285261,-0.192816367267
2M18450951-0317148,-9999,-1,-9999,-1,-0.103436511571
2M18451266-0330549,0.4514491,0.02266543,0.004520398,0.008249409,-0.219110844206
2M18451842-0320049,-9999,-1,-9999,-1,-0.157964017525
2M18452743-0329552,0.3543269,0.02332791,-0.05799105,0.008772415,-0.266200894352
2M18453322-0327307,-9999,-1,-9999,-1,-0.269288976287
2M18453896-0324495,0.4427627,0.02453229,0.007876849,0.009559559,-0.270076498306
2M18453909-0331471,-0.1015483,0.03044777,0.01516423,0.01297535,-0.323507820536
2M18454447-0318288,0.2659903,0.02514893,-0.03669125,0.009630746,-0.24220989659
2M18460678-0337057,-0.4653635,0.03153948,-0.04049594,0.01685158,-0.466362377577
2M03140725+5746044,-0.3990491,0.03164557,0.1128715,0.01714459,0.00566207205977
2M03224123+5732217,0.0714688,0.02974065,0.01928824,0.01185883,0.422259651457
2M03272450+5653122,-9999,-1,-9999,-1,0.231782203565
2M03331414+5626030,-0.4271687,0.03296661,0.1225955,0.0175401,0.314937594495
2M04334445+4724072,-0.08018961,0.03017138,0.06101886,0.01311284,-0.279531448404
2M04341899+4805375,-0.4339067,0.03414311,0.07746127,0.0176921,0.260786812465
2M04345332+4800165,-0.2496321,0.03171356,0.04986834,0.01473215,0.270804111748
